sale_date,day_of_year,employee_shifts,units_sold,revenue,month_of_year
2017-05-22,142,5,730,8760,5
2017-05-23,143,5,739,8868,5
2017-05-24,144,5,467,5604,5
2017-05-25,145,5,736,8832,5
2017-05-26,146,5,415,4980,5
2017-05-27,147,5,788,9456,5
2017-05-28,148,5,446,5352,5
2017-05-29,149,5,717,8604,5
2017-05-30,150,5,713,8556,5
2017-05-31,151,5,475,5700,5
2017-06-01,152,5,724,8688,6
2017-06-02,153,5,465,5580,6
2017-06-03,154,5,515,6180,6
2017-06-04,155,5,711,8532,6
2017-06-05,156,5,641,7692,6
2017-06-06,157,5,793,9516,6
2017-06-07,158,5,684,8208,6
2017-06-08,159,5,637,7644,6
2017-06-09,160,5,473,5676,6
2017-06-10,161,5,448,5376,6
2017-06-11,162,5,440,5280,6
2017-06-12,163,5,517,6204,6
2017-06-13,164,5,404,4848,6
2017-06-14,165,5,486,5832,6
2017-06-15,166,5,606,7272,6
2017-06-16,167,5,427,5124,6
2017-06-17,168,5,565,6780,6
2017-06-18,169,5,635,7620,6
2017-06-19,170,5,589,7068,6
2017-06-20,171,5,508,6096,6
2017-06-21,172,5,561,6732,6
2017-06-22,173,5,408,4896,6
2017-06-23,174,5,551,6612,6
2017-06-24,175,5,773,9276,6
2017-06-25,176,5,630,7560,6
2017-06-26,177,5,758,9096,6
2017-06-27,178,5,776,9312,6
2017-06-28,179,5,480,5760,6
2017-06-29,180,5,555,6660,6
2017-06-30,181,5,746,8952,6
2017-07-01,182,5,514,6168,7
2017-07-02,183,5,501,6012,7
2017-07-03,184,5,686,8232,7
2017-07-04,185,5,714,8568,7
2017-07-05,186,5,506,6072,7
2017-07-06,187,5,405,4860,7
2017-07-07,188,5,706,8472,7
2017-07-08,189,5,413,4956,7
2017-07-09,190,5,553,6636,7
2017-07-10,191,5,538,6456,7
2017-07-11,192,5,582,6984,7
2017-07-12,193,5,684,8208,7
2017-07-13,194,5,752,9024,7
2017-07-14,195,5,414,4968,7
2017-07-15,196,5,716,8592,7
2017-07-16,197,5,593,7116,7
2017-07-17,198,5,723,8676,7
2017-07-18,199,5,795,9540,7
2017-07-19,200,5,432,5184,7
2017-07-20,201,5,793,9516,7
2017-07-21,202,4,521,6252,7
2017-07-22,203,4,588,7056,7
2017-07-23,204,4,668,8016,7
2017-07-24,205,4,690,8280,7
2017-07-25,206,4,744,8928,7
2017-07-26,207,4,521,6252,7
2017-07-27,208,4,552,6624,7
2017-07-28,209,4,604,7248,7
2017-07-29,210,4,453,5436,7
2017-07-30,211,4,783,9396,7
2017-07-31,212,4,434,5208,7
2017-08-01,213,4,459,5508,8
2017-08-02,214,4,687,8244,8
2017-08-03,215,4,589,7068,8
2017-08-04,216,4,652,7824,8
2017-08-05,217,4,439,5268,8
2017-08-06,218,4,526,6312,8
2017-08-07,219,4,416,4992,8
2017-08-08,220,4,735,8820,8
2017-08-09,221,4,550,6600,8
2017-08-10,222,4,409,4908,8
2017-08-11,223,4,583,6996,8
2017-08-12,224,4,494,5928,8
2017-08-13,225,4,530,6360,8
2017-08-14,226,4,585,7020,8
2017-08-15,227,4,528,6336,8
2017-08-16,228,4,683,8196,8
2017-08-17,229,4,501,6012,8
2017-08-18,230,4,314,3768,8
2017-08-19,231,4,357,4284,8
2017-08-20,232,4,581,6972,8
2017-08-21,233,4,372,4464,8
2017-08-22,234,3,420,5040,8
2017-08-23,235,3,435,5220,8
2017-08-24,236,3,637,7644,8
2017-08-25,237,3,449,5388,8
2017-08-26,238,3,380,4560,8
2017-08-27,239,3,548,6576,8
2017-08-28,240,3,664,7968,8
2017-08-29,241,3,317,3804,8
2017-08-30,242,3,473,5676,8
2017-08-31,243,3,503,6036,8
2017-09-01,244,3,413,4956,9
2017-09-02,245,3,377,4524,9
2017-09-03,246,3,436,5232,9
2017-09-04,247,3,484,5808,9
2017-09-05,248,3,651,7812,9
2017-09-06,249,3,555,6660,9
2017-09-07,250,3,307,3684,9
2017-09-08,251,3,555,6660,9
2017-09-09,252,3,465,5580,9
2017-09-10,253,3,371,4452,9
2017-09-11,254,3,619,7428,9
2017-09-12,255,3,598,7176,9
2017-09-13,256,3,308,3696,9
2017-09-14,257,3,509,6108,9
2017-09-15,258,3,524,6288,9
2017-09-16,259,3,442,5304,9
2017-09-17,260,3,689,8268,9
2017-09-18,261,3,301,3612,9
2017-09-19,262,3,381,4572,9
2017-09-20,263,3,384,4608,9
2017-09-21,264,3,116,1392,9
2017-09-22,265,3,436,5232,9
2017-09-23,266,3,252,3024,9
2017-09-24,267,3,483,5796,9
2017-09-25,268,3,262,3144,9
2017-09-26,269,3,204,2448,9
2017-09-27,270,3,418,5016,9
2017-09-28,271,3,178,2136,9
2017-09-29,272,3,485,5820,9
2017-09-30,273,3,210,2520,9
2017-10-01,274,3,315,3780,10
2017-10-02,275,3,305,3660,10
2017-10-03,276,3,378,4536,10
2017-10-04,277,3,184,2208,10
2017-10-05,278,3,239,2868,10
2017-10-06,279,3,242,2904,10
2017-10-07,280,3,100,1200,10
2017-10-08,281,3,311,3732,10
2017-10-09,282,3,171,2052,10
2017-10-10,283,3,210,2520,10
2017-10-11,284,3,477,5724,10
2017-10-12,285,3,297,3564,10
2017-10-13,286,3,188,2256,10
2017-10-14,287,3,107,1284,10
2017-10-15,288,3,488,5856,10
2017-10-16,289,3,292,3504,10
2017-10-17,290,3,247,2964,10
2017-10-18,291,3,267,3204,10
2017-10-19,292,3,129,1548,10
2017-10-20,293,3,356,4272,10
2017-10-21,294,3,121,1452,10
2017-10-22,295,4,252,3024,10
2017-10-23,296,4,168,2016,10
2017-10-24,297,4,327,3924,10
2017-10-25,298,4,375,4500,10
2017-10-26,299,4,270,3240,10
2017-10-27,300,4,199,2388,10
2017-10-28,301,4,296,3552,10
2017-10-29,302,4,141,1692,10
2017-10-30,303,4,497,5964,10
2017-10-31,304,4,106,1272,10
2017-11-01,305,4,140,1680,11
2017-11-02,306,4,123,1476,11
2017-11-03,307,4,643,7716,11
2017-11-04,308,4,687,8244,11
2017-11-05,309,4,761,9132,11
2017-11-06,310,4,448,5376,11
2017-11-07,311,4,375,4500,11
2017-11-08,312,4,688,8256,11
2017-11-09,313,4,560,6720,11
2017-11-10,314,4,619,7428,11
2017-11-11,315,4,341,4092,11
2017-11-12,316,4,622,7464,11
2017-11-13,317,4,511,6132,11
2017-11-14,318,4,511,6132,11
2017-11-15,319,4,399,4788,11
2017-11-16,320,4,416,4992,11
2017-11-17,321,4,704,8448,11
2017-11-18,322,4,665,7980,11
2017-11-19,323,4,615,7380,11
2017-11-20,324,4,308,3696,11
2017-11-21,325,4,536,6432,11
2017-11-22,326,4,361,4332,11
2017-11-23,327,5,461,5532,11
2017-11-24,328,5,551,6612,11
2017-11-25,329,5,726,8712,11
2017-11-26,330,5,516,6192,11
2017-11-27,331,5,681,8172,11
2017-11-28,332,5,585,7020,11
2017-11-29,333,5,806,9672,11
2017-11-30,334,5,714,8568,11
2017-12-01,335,5,844,10128,12
2017-12-02,336,5,764,9168,12
2017-12-03,337,5,697,8364,12
2017-12-04,338,5,816,9792,12
2017-12-05,339,5,775,9300,12
2017-12-06,340,5,522,6264,12
2017-12-07,341,7,766,9192,12
2017-12-08,342,7,810,9720,12
2017-12-09,343,7,593,7116,12
2017-12-10,344,7,683,8196,12
2017-12-11,345,7,594,7128,12
2017-12-12,346,7,652,7824,12
2017-12-13,347,7,523,6276,12
2017-12-14,348,7,768,9216,12
2017-12-15,349,7,711,8532,12
2017-12-16,350,7,745,8940,12
2017-12-17,351,7,879,10548,12
2017-12-18,352,7,807,9684,12
2017-12-19,353,7,851,10212,12
2017-12-20,354,7,806,9672,12
2017-12-21,355,7,592,7104,12
2017-12-22,356,7,510,6120,12
2017-12-23,357,7,785,9420,12
2017-12-24,358,7,514,6168,12
2017-12-25,359,0,0,0,12
2017-12-26,360,5,204,2448,12
2017-12-27,361,5,332,3984,12
2017-12-28,362,5,252,3024,12
2017-12-29,363,5,299,3588,12
2017-12-30,364,5,159,1908,12
2017-12-31,365,5,360,4320,12
